,Date,Investment,Gain,Avg_duration,Compound_Return
116,2021-02-25,200000,23.722783250000006,78.5,110.3033870859873
117,2021-02-26,200000,19.066384250000006,79.5,87.53748743710695
118,2021-03-01,200000,20.970902249999998,80.5,95.08545740683229
119,2021-03-02,200000,22.262024500000013,81.5,99.70109131901847
120,2021-03-03,200000,24.937692000000013,82.5,110.33039490909097
121,2021-03-04,200000,23.586746250000008,83.5,103.10374109281442
122,2021-03-05,200000,22.417729500000004,84.5,96.83397949704143
123,2021-03-08,300000,15.063032000000007,57.333333333333336,95.89546534883725
124,2021-03-09,300000,16.157024000000014,58.333333333333336,101.0968073142858
125,2021-03-10,300000,16.744794666666674,59.333333333333336,103.008708764045
126,2021-03-12,300000,15.638108666666687,60.333333333333336,94.60623751381227
127,2021-03-15,300000,14.857620000000015,61.333333333333336,88.4189885869566
128,2021-03-16,300000,14.711062000000016,62.333333333333336,86.14231491978619
129,2021-03-17,300000,13.255867999999998,63.333333333333336,76.39566031578946
130,2021-03-18,300000,11.998392666666671,64.33333333333333,68.07378222797931
131,2021-03-19,400000,10.063960000000007,49.25,74.58569340101528
132,2021-03-22,500000,8.017812000000012,40.4,72.43815297029714
133,2021-03-23,500000,8.592117500000027,41.4,75.75176056763308
134,2021-03-24,500000,6.647102000000025,42.4,57.221514858490785
135,2021-03-25,500000,5.001517000000016,43.4,42.06344942396327
136,2021-03-26,500000,6.338509000000009,44.4,52.10711227477485
137,2021-03-30,500000,8.814583000000031,45.4,70.86614085903109
138,2021-03-31,500000,7.682831000000029,46.4,60.43606282327609
139,2021-04-01,500000,8.977675500000013,47.4,69.13188939873427
140,2021-04-05,500000,7.295074000000022,48.4,55.014504338843146
141,2021-04-06,500000,7.630055000000029,49.4,56.37591244939293
142,2021-04-07,500000,8.623636500000021,50.4,62.45292306547635
143,2021-04-08,500000,9.024954000000003,51.4,64.08770836575879
144,2021-04-09,500000,8.739450500000013,52.4,60.8759433683207
145,2021-04-12,500000,4.898164000000013,53.4,33.47995992509372
146,2021-04-13,500000,6.320184000000008,54.4,42.40564632352947
147,2021-04-15,500000,6.882028500000015,55.4,45.341884521660745
148,2021-04-16,500000,7.148840500000025,56.4,46.264659264184566
