,date,annual_return,high_low,Investment
82,2021-01-07,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
83,2021-01-08,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
84,2021-01-11,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
85,2021-01-12,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
86,2021-01-13,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
87,2021-01-14,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
88,2021-01-15,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
89,2021-01-18,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
90,2021-01-19,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
91,2021-01-20,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
92,2021-01-21,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
93,2021-01-22,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
94,2021-01-25,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
95,2021-01-27,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
96,2021-01-28,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
97,2021-01-29,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
98,2021-02-01,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
99,2021-02-02,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
100,2021-02-03,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
101,2021-02-04,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
102,2021-02-05,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
103,2021-02-08,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
104,2021-02-09,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
105,2021-02-10,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
106,2021-02-11,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
107,2021-02-12,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
108,2021-02-15,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
109,2021-02-16,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
110,2021-02-17,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
111,2021-02-18,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
112,2021-02-19,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
113,2021-02-22,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
114,2021-02-23,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
115,2021-02-24,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
116,2021-02-25,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
117,2021-02-26,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
118,2021-03-01,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
119,2021-03-02,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
120,2021-03-03,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
121,2021-03-04,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
122,2021-03-05,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
123,2021-03-08,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
124,2021-03-09,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
125,2021-03-10,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
126,2021-03-12,37.462717464285724,"[-14.401559342857144, 37.462717464285724]",2300000
