,Date,Investment,Gain,Avg_duration,DailyInvestment,Gain_amount,Compound_Return
515,2022-10-07,8700000,12.627720857098767,179.4712643678161,0,9638816.768199999,25.681649533570596
516,2022-10-10,8700000,11.967480496604937,180.4712643678161,0,9584112.300800003,24.20402160178904
517,2022-10-11,8700000,10.221199275617286,181.4712643678161,0,9434701.411199998,20.55828369630269
518,2022-10-12,8700000,10.964561596296297,182.4712643678161,0,9486894.053600002,21.93257659781977
519,2022-10-13,8700000,10.151796357098767,183.4712643678161,0,9427044.7319,20.19610909157194
520,2022-10-14,8700000,10.340258959876545,184.4712643678161,0,9438371.436000003,20.459525407868384
521,2022-10-17,8700000,10.083054619753087,185.4712643678161,0,9412289.1624,19.84304656979792
522,2022-10-18,8700000,10.746207146604936,186.4712643678161,0,9488918.8924,21.034691976850134
523,2022-10-19,8800000,11.126216019753091,185.35227272727272,100000,9626859.688,21.910002976792917
524,2022-10-20,8800000,11.359720874691359,186.35227272727272,0,9667867.6732,22.24978562687276
525,2022-10-21,8800000,10.817984254629634,187.35227272727272,0,9613610.007199999,21.075614378522708
526,2022-10-24,8900000,11.699074657716054,186.24719101123594,100000,9771535.122499999,22.92739142470476
527,2022-10-25,8900000,11.790337738271607,187.24719101123594,0,9784783.330799999,22.982845570222214
528,2022-10-27,9000000,12.241238122727268,186.16666666666666,100000,9957989.795500005,24.00027886192723
529,2022-10-28,9000000,12.11702035666667,187.16666666666666,0,9962186.560199998,23.62980817551203
530,2022-10-31,9000000,13.7248524369697,188.16666666666666,0,10097629.284699999,26.6230529999678
531,2022-11-01,9000000,14.537536383333329,189.16666666666666,0,10156707.9374,28.050400598678408
532,2022-11-02,9000000,14.007250841515155,190.16666666666666,0,10105859.550000004,26.885082684415593
533,2022-11-03,9000000,13.528202097575756,191.16666666666666,0,10062366.690899998,25.829784301387015
534,2022-11-04,9000000,13.498193752727271,192.16666666666666,0,10048374.880499996,25.638373216368368
535,2022-11-07,9000000,14.176486622121212,193.16666666666666,0,10105493.4488,26.78732157242921
536,2022-11-09,9000000,13.885546211212121,194.16666666666666,0,10074127.862700004,26.1024430923215
537,2022-11-10,9000000,13.138937598484848,195.16666666666666,0,9996571.1995,24.572393971547243
538,2022-11-11,9000000,13.750224462424239,196.16666666666666,0,10067936.220499998,25.584529798393444
539,2022-11-14,9000000,13.947383633030304,197.16666666666666,0,10074128.007700002,25.819754992676557
540,2022-11-15,9000000,14.318700596363636,198.16666666666666,0,10107416.740400001,26.37338461399189
541,2022-11-16,9000000,13.904012216363638,199.16666666666666,0,10068480.511000002,25.48099309944466
542,2022-11-17,9000000,12.988583673939392,200.16666666666666,0,9972750.524700005,23.684428181454845
543,2022-11-18,9000000,12.539769567878782,201.16666666666666,0,9934745.516400002,22.75235737668147
544,2022-11-21,9000000,12.409356823636367,202.16666666666666,0,9918121.112200001,22.40436227845313
545,2022-11-22,9000000,12.602633187272733,203.16666666666666,0,9931750.028900003,22.641318031277514
546,2022-11-23,9000000,12.920490023333333,204.16666666666666,0,9966675.730299998,23.09867196008163
