,Date,Investment,Gain,Avg_duration,DailyInvestment,Gain_amount,Compound_Return
498,2022-09-13,11200000,17.002192658196723,165.58928571428572,0,12720706.584799998,37.477064373292464
499,2022-09-14,11200000,16.45982319330601,166.58928571428572,0,12672110.5346,36.06375668037034
500,2022-09-15,11200000,16.345412482377046,167.58928571428572,0,12647242.769099997,35.59938531057931
501,2022-09-16,11200000,13.240811043306008,168.58928571428572,0,12289717.024600003,28.66668549149188
502,2022-09-19,11200000,13.100378212568305,169.58928571428572,0,12267018.003599998,28.195401775813007
503,2022-09-20,11200000,14.37914748647541,170.58928571428572,0,12403889.983900001,30.7662278471221
504,2022-09-21,11200000,13.625450091939896,171.58928571428572,0,12324522.728300001,28.983681952258454
505,2022-09-22,11200000,14.100836611612023,172.58928571428572,0,12355815.6295,29.82111746935848
506,2022-09-23,11200000,12.24216805519126,173.58928571428572,0,12161046.501300005,25.74117015205322
507,2022-09-26,11200000,9.7192086,174.58928571428572,0,11896850.001399998,20.31918009450752
508,2022-09-27,11200000,9.951631345218582,175.58928571428572,0,11949064.7111,20.686600701339145
509,2022-09-28,11200000,9.87739518825137,176.58928571428572,0,11934950.933299998,20.416013514800078
510,2022-09-29,11200000,9.784914406693987,177.58928571428572,0,11923712.132600002,20.110975412048777
511,2022-09-30,11200000,10.844984504371583,178.58928571428572,0,12028703.6946,22.16493183375214
512,2022-10-03,11200000,9.479453187431695,179.58928571428572,0,11877829.599699998,19.26618506026686
513,2022-10-04,11200000,11.141027379234977,180.58928571428572,0,12060469.284600005,22.517808724568667
514,2022-10-06,11200000,11.574850887704917,181.58928571428572,0,12125724.412700003,23.265803141379536
515,2022-10-07,11200000,11.181122462295082,182.58928571428572,0,12064465.861500004,22.351309841497454
516,2022-10-10,11200000,10.439213057923501,183.58928571428572,0,11983342.919400003,20.754548672692962
517,2022-10-11,11200000,8.70512196653006,184.58928571428572,0,11791015.286100002,17.213184966225636
518,2022-10-12,11200000,9.3672416942623,185.58928571428572,0,11867978.530799998,18.422632563333146
519,2022-10-13,11200000,8.540672628415303,186.58928571428572,0,11786736.516200002,16.706990958446625
520,2022-10-14,11200000,8.725929262704915,187.58928571428572,0,11804070.848399997,16.978390683454396
521,2022-10-17,11200000,8.458518334016393,188.58928571428572,0,11777855.4371,16.370809085057765
522,2022-10-18,11300000,8.951655168010754,187.9203539823009,100000,11970542.056499999,17.386909225552323
523,2022-10-19,11300000,9.232042550806451,188.9203539823009,0,12012758.035999997,17.836593358066892
524,2022-10-20,11300000,9.575748675940861,189.9203539823009,0,12058096.706100002,18.403231635952697
