,Date,Investment,Gain,Avg_duration,Compound_Return
194,2021-06-23,900000,19.566605277777803,62.111111111111114,114.98443351967813
195,2021-06-24,900000,19.565369,63.111111111111114,113.15534712147887
196,2021-06-25,900000,20.0166103888889,64.11111111111111,113.95938496967077
197,2021-06-28,900000,20.6236227777778,65.11111111111111,115.61194680034141
198,2021-06-29,900000,20.31826216666667,66.11111111111111,112.17729616386556
199,2021-06-30,900000,20.9413461666667,67.11111111111111,113.8945731084439
200,2021-07-01,900000,21.762234611111122,68.11111111111111,116.62143670065258
201,2021-07-02,900000,23.337252500000023,69.11111111111111,123.2522097467847
202,2021-07-05,900000,23.929429555555572,70.11111111111111,124.57714118858962
203,2021-07-06,900000,22.87982972222225,71.11111111111111,117.43787599609388
204,2021-07-07,900000,23.219806111111126,72.11111111111111,117.53014341294305
205,2021-07-08,900000,23.23711400000001,73.11111111111111,116.00899618541037
206,2021-07-09,900000,23.884923555555574,74.11111111111111,117.63414374812602
207,2021-07-12,900000,24.447429944444448,75.11111111111111,118.80149018860948
208,2021-07-13,900000,25.927254444444447,76.11111111111111,124.33727131386861
209,2021-07-14,900000,27.27603350000003,77.11111111111111,129.1091787427955
210,2021-07-15,900000,29.33938111111113,78.11111111111111,137.09796152204845
211,2021-07-16,900000,31.719215833333347,79.11111111111111,146.34497754564612
212,2021-07-19,900000,31.43363566666668,80.11111111111111,143.21705015950076
213,2021-07-20,900000,29.350507611111116,81.11111111111111,132.07728425000002
214,2021-07-22,900000,31.115912277777806,82.11111111111111,138.31633536197577
215,2021-07-23,900000,29.99955344444446,83.11111111111111,131.74937575534764
216,2021-07-26,900000,30.120708666666694,84.11111111111111,130.70875557463685
217,2021-07-27,900000,30.270298277777773,85.11111111111111,129.81452982049606
218,2021-07-28,1000000,26.50176205000002,77.6,124.65390654961352
219,2021-07-29,1000000,27.302765500000003,78.6,126.78765149491097
220,2021-07-30,1000000,27.882677500000014,79.6,127.85398602386941
221,2021-08-02,1000000,29.111366050000022,80.6,131.8318685887098
222,2021-08-03,1000000,28.919270200000003,81.6,129.35702969362748
223,2021-08-04,1000000,27.49002875000001,82.6,121.47530864104122
224,2021-08-05,1200000,22.569151750000017,69.83333333333333,117.96286952863971
225,2021-08-06,1200000,22.20559375000002,70.83333333333333,114.42411838235304
226,2021-08-09,1300000,19.249465538461568,66.38461538461539,105.83860252607201
227,2021-08-10,1300000,16.554406461538495,67.38461538461539,89.66970166666685
