,Date,Investment,Gain,Avg_duration,Compound_Return
31,2020-10-26,100000,3.9931200000000096,25.0,58.29955200000014
32,2020-10-27,100000,4.116320000000007,26.0,57.7868000000001
33,2020-10-28,100000,3.121919999999998,27.0,42.20373333333331
34,2020-10-29,100000,1.9145600000000123,28.0,24.957657142857304
35,2020-10-30,100000,1.6857600000000095,29.0,21.217324137931154
36,2020-11-02,100000,0.35168000000000754,30.0,4.278773333333425
37,2020-11-03,100000,0.13696000000002095,31.0,1.6125935483873435
38,2020-11-04,100000,-0.07951999999998952,32.0,-0.9070249999998804
39,2020-11-05,100000,1.7737600000000093,33.0,19.61886060606071
40,2020-11-06,100000,2.1592000000000118,34.0,23.179647058823655
41,2020-11-09,100000,2.449600000000006,35.0,25.545828571428633
42,2020-11-10,100000,2.1064000000000087,36.0,21.356555555555644
43,2020-11-11,100000,3.141280000000014,37.0,30.988302702702835
44,2020-11-12,100000,4.322240000000005,38.0,41.51625263157899
45,2020-11-13,100000,4.971680000000007,39.0,46.52982564102571
46,2020-11-14,100000,5.7372800000000135,40.0,52.35268000000012
47,2020-11-17,100000,5.608800000000002,41.0,49.93200000000002
48,2020-11-18,100000,6.117440000000003,42.0,53.16346666666669
49,2020-11-19,100000,5.934400000000008,43.0,50.37339534883727
50,2020-11-20,100000,7.335360000000016,44.0,60.85014545454558
51,2020-11-23,100000,9.524800000000003,45.0,77.25671111111113
52,2020-11-24,100000,10.762080000000017,46.0,85.39476521739144
53,2020-11-25,100000,9.809920000000012,47.0,76.18342127659585
54,2020-11-26,100000,10.755040000000008,48.0,81.78311666666673
55,2020-11-27,100000,14.509120000000008,49.0,108.07813877551027
56,2020-12-01,100000,15.822080000000016,50.0,115.50118400000012
57,2020-12-02,100000,16.001600000000003,51.0,114.52125490196082
58,2020-12-03,100000,16.42048000000001,52.0,115.25913846153853
59,2020-12-04,100000,16.936160000000015,53.0,116.63581886792464
60,2020-12-07,100000,17.918240000000004,54.0,121.11402962962966
61,2020-12-08,100000,17.91120000000001,55.0,118.86523636363644
62,2020-12-09,100000,18.935520000000004,56.0,123.41901428571431
63,2020-12-10,100000,18.374080000000017,57.0,117.65858245614046
64,2020-12-11,100000,19.451200000000014,58.0,122.40841379310355
65,2020-12-14,100000,20.656800000000004,59.0,127.7920677966102
66,2020-12-15,100000,20.72192000000001,60.0,126.05834666666674
67,2020-12-16,100000,21.97152,61.0,131.468931147541
68,2020-12-17,100000,22.291839999999997,62.0,131.2342193548387
69,2020-12-18,100000,22.527680000000007,63.0,130.51751111111116
70,2020-12-21,200000,8.232483500000003,32.5,92.45712238461542
71,2020-12-22,200000,8.831076500000009,33.5,96.21919171641801
72,2020-12-23,200000,12.048104999999996,34.5,127.46545869565212
73,2020-12-24,200000,13.078470000000001,35.5,134.46877605633804
74,2020-12-28,200000,14.743409,36.5,147.43409
75,2020-12-29,200000,15.093406000000003,37.5,146.90915173333337
76,2020-12-30,200000,15.485926000000006,38.5,146.81462311688318
77,2020-12-31,200000,15.631485500000009,39.5,144.4428406962026
78,2021-01-01,200000,17.100164499999998,40.5,154.11259364197528
79,2021-01-04,200000,18.807626500000012,41.5,165.41647403614468
80,2021-01-05,200000,19.7104225,42.5,169.2777461764706
81,2021-01-06,200000,19.604115000000004,43.5,164.4942982758621
82,2021-01-07,200000,21.3524645,44.5,175.13819196629214
83,2021-01-08,200000,22.075355500000004,45.5,177.0880166483517
84,2021-01-11,200000,22.32395150000001,46.5,175.23101715053772
85,2021-01-12,200000,22.655958000000012,47.5,174.0931509473685
86,2021-01-13,200000,22.79824650000001,48.5,171.57443242268045
87,2021-01-14,200000,23.647070999999997,49.5,174.3672912121212
88,2021-01-15,200000,22.271615500000014,50.5,160.97306252475258
89,2021-01-18,200000,20.2337825,51.5,143.40447791262136
90,2021-01-19,200000,22.570911999999996,52.5,156.92157866666665
91,2021-01-20,200000,23.563660500000015,53.5,160.76142210280383
92,2021-01-21,200000,22.610164000000005,54.5,151.4258689908257
93,2021-01-22,200000,22.44988500000001,55.5,147.6433878378379
94,2021-01-25,200000,21.041719499999992,56.5,135.93323216814153
95,2021-01-27,200000,21.251063500000004,57.5,134.8980552608696
96,2021-01-28,200000,20.54943400000001,58.5,128.21441726495732
97,2021-01-29,200000,19.610656999999993,59.5,120.3006689915966
98,2021-02-01,200000,22.096617,60.5,133.31016867768594
99,2021-02-02,200000,23.843331000000006,61.5,141.50920024390246
100,2021-02-03,200000,25.570419000000012,62.5,149.33124696000007
101,2021-02-04,200000,27.53792550000001,63.5,158.2888631102363
102,2021-02-05,200000,27.948436000000004,64.5,158.15781612403103
103,2021-02-08,200000,29.40239550000001,65.5,163.845410038168
104,2021-02-09,200000,29.08674400000001,66.5,159.64904601503767
105,2021-02-10,200000,30.20706150000001,67.5,163.34188811111116
106,2021-02-11,200000,32.42316400000002,68.5,172.76576437956214
107,2021-02-12,200000,32.773160999999995,69.5,172.11803978417265
108,2021-02-15,200000,33.46661300000001,70.5,173.26686163120573
109,2021-02-16,200000,34.003057000000005,71.5,173.58203923076925
110,2021-02-17,200000,34.166606999999985,72.5,172.0111938620689
111,2021-02-18,200000,35.134823000000004,73.5,174.4790529931973
112,2021-02-19,200000,33.9556275,74.5,166.35978573825503
113,2021-02-22,200000,31.732983000000008,75.5,153.4111098675497
114,2021-02-23,200000,32.957972500000004,76.5,157.2504570261438
115,2021-02-24,200000,34.124084,77.5,160.71342787096776
116,2021-02-25,200000,35.586221000000016,78.5,165.4645944585988
117,2021-02-26,200000,33.76590950000001,79.5,155.02587380503147
118,2021-03-01,200000,36.539717499999995,80.5,165.67697996894407
119,2021-03-02,200000,37.332935,81.5,167.1965800613497
120,2021-03-03,200000,38.703483999999996,82.5,171.23359587878787
121,2021-03-04,200000,39.498337,83.5,172.65740125748502
122,2021-03-05,200000,37.29531850000002,84.5,161.09812133136106
123,2021-03-08,200000,37.31494449999999,85.5,159.29771628654967
124,2021-03-09,200000,35.97874100000001,86.5,151.81780884393066
125,2021-03-10,200000,38.42217800000001,87.5,160.27537108571434
126,2021-03-12,200000,39.32170300000001,88.5,162.17425531073448
127,2021-03-15,200000,37.841575500000005,89.5,154.3259782960894
128,2021-03-16,200000,38.561195500000004,90.5,155.52305367403318
129,2021-03-17,200000,35.2672985,91.5,140.68375904371587
130,2021-03-18,200000,33.785535499999995,92.5,133.3158968378378
131,2021-03-19,300000,23.143150000000006,62.666666666666664,134.79653856382984
132,2021-03-22,300000,23.14165499999999,63.666666666666664,132.6707446335078
133,2021-03-23,300000,23.294145000000018,64.66666666666667,131.47983904639185
134,2021-03-24,300000,20.274245000000015,65.66666666666667,112.69186941624373
135,2021-03-25,300000,17.919620000000013,66.66666666666667,98.10991950000006
136,2021-03-26,300000,19.120105000000002,67.66666666666667,103.13554174876847
137,2021-03-30,300000,20.900650000000002,68.66666666666667,111.09811529126215
138,2021-03-31,300000,21.25646,69.66666666666667,111.36757751196171
139,2021-04-01,300000,23.51241500000002,70.66666666666667,121.44384162735858
140,2021-04-05,300000,21.84549000000001,71.66666666666667,111.2595886046512
141,2021-04-06,300000,23.754605,72.66666666666667,119.31785538990826
142,2021-04-07,300000,25.624849999999995,73.66666666666667,126.96475452488686
143,2021-04-08,300000,26.51885999999999,74.66666666666667,129.63460580357136
144,2021-04-09,300000,26.97782500000001,75.66666666666667,130.1353232378855
145,2021-04-12,300000,20.115775000000006,76.66666666666667,95.76858097826089
146,2021-04-13,300000,21.494165,77.66666666666667,101.01335053648067
147,2021-04-15,300000,21.07108,78.66666666666667,97.76623983050845
148,2021-04-16,300000,22.703620000000015,79.66666666666667,104.0186774058578
149,2021-04-19,300000,20.102320000000006,80.66666666666667,90.9588446280992
150,2021-04-20,300000,21.642170000000004,81.66666666666667,96.72724959183674
151,2021-04-22,300000,22.340335000000003,82.66666666666667,98.63978558467743
152,2021-04-23,300000,23.232849999999996,83.66666666666667,101.35446513944221
153,2021-04-26,300000,24.723365000000012,84.66666666666667,106.5830105314961
154,2021-04-27,300000,27.237954999999996,85.66666666666667,116.05276546692605
155,2021-04-28,300000,27.919675000000012,86.66666666666667,117.58478509615388
156,2021-04-29,300000,28.845079999999996,87.66666666666667,120.09643574144484
157,2021-04-30,300000,28.063195000000007,88.66666666666667,115.52330272556394
158,2021-05-03,300000,29.067835000000002,89.66666666666667,118.32445845724907
159,2021-05-04,300000,27.675990000000013,90.66666666666667,111.4162097426471
160,2021-05-05,300000,27.95406,91.66666666666667,111.30798436363635
161,2021-05-06,300000,28.803220000000014,92.66666666666667,113.45153201438853
162,2021-05-07,300000,29.253215000000004,93.66666666666667,113.99384492882564
163,2021-05-10,300000,31.410500000000003,94.66666666666667,121.10738556338028
164,2021-05-11,300000,32.289559999999994,95.66666666666667,123.1953595818815
165,2021-05-12,300000,32.02942999999999,96.66666666666667,120.93870982758617
166,2021-05-14,400000,22.64590075,73.5,112.45923501700679
167,2021-05-17,400000,23.923183499999983,74.5,117.20754332214757
168,2021-05-18,400000,25.756724999999992,75.5,124.51926655629134
169,2021-05-19,400000,26.677720499999996,76.5,127.28585598039213
170,2021-05-20,400000,26.621390499999993,77.5,125.37816170967739
171,2021-05-21,400000,27.081888250000002,78.5,125.92215555732486
172,2021-05-24,400000,28.398602,79.5,130.3835186163522
173,2021-05-25,400000,28.49013825,80.5,129.17888771739132
174,2021-05-26,400000,29.083011500000005,81.5,130.2490699079755
175,2021-05-27,400000,30.53491724999998,82.5,135.09387631818174
176,2021-05-28,400000,29.663210499999987,83.5,129.66553092814365
177,2021-05-31,400000,30.140607249999984,84.5,130.193155576923
178,2021-06-01,400000,29.799810750000006,85.5,127.21556635964915
179,2021-06-02,400000,31.265799,86.5,131.93082815028902
180,2021-06-03,400000,32.96414849999998,87.5,137.5075908857142
181,2021-06-04,400000,33.51336599999998,88.5,138.21896711864397
182,2021-06-07,400000,35.5496955,89.5,144.97920511173186
183,2021-06-08,400000,36.44675075000001,90.5,146.99518258287296
184,2021-06-09,400000,34.673764,91.5,138.31610775956284
185,2021-06-10,500000,29.569772,74.2,145.45777331536388
186,2021-06-11,500000,30.838026400000018,75.2,149.6792504787235
187,2021-06-14,500000,30.642192999999995,76.2,146.77690872703408
188,2021-06-15,500000,30.84868400000001,77.2,145.85193860103632
189,2021-06-16,500000,30.209228000000003,78.2,141.00215115089514
190,2021-06-17,600000,24.8484105,66.16666666666667,137.07309570528966
191,2021-06-18,600000,23.161114000000023,67.16666666666667,125.86312570719615
192,2021-06-21,700000,20.410274928571422,58.57142857142857,127.19085961585363
193,2021-06-22,700000,21.03323921428571,59.57142857142857,128.8727246822542
194,2021-06-23,700000,20.499981785714294,60.57142857142857,123.53172986438685
195,2021-06-24,700000,20.49873585714285,61.57142857142857,121.51802810904869
196,2021-06-25,700000,20.953499785714282,62.57142857142857,122.22874874999998
197,2021-06-28,700000,21.565250714285714,63.57142857142857,123.81846196629215
198,2021-06-29,700000,21.25750635714285,64.57142857142857,120.16134677544245
199,2021-06-30,700000,21.885454357142876,65.57142857142857,121.82426118191732
200,2021-07-01,700000,22.71275092857143,66.57142857142857,124.5302116362661
201,2021-07-02,700000,24.30006392857143,67.57142857142857,131.26144468816068
202,2021-07-05,700000,24.89686371428571,68.57142857142857,132.5239308125
203,2021-07-06,700000,23.839070357142862,69.57142857142857,125.06945536447643
204,2021-07-07,700000,24.181700714285718,70.57142857142857,125.06932252024293
205,2021-07-08,700000,24.19914371428572,71.57142857142857,123.41080277445116
206,2021-07-09,700000,24.852010285714275,72.57142857142857,124.99387062992122
207,2021-07-12,700000,25.41890778571429,73.57142857142857,126.10739687864078
208,2021-07-13,700000,26.910284285714287,74.57142857142857,131.7160466475096
209,2021-07-14,700000,28.269592357142866,75.57142857142857,136.53839030718342
210,2021-07-15,700000,30.349047142857156,76.57142857142857,144.66756613805978
211,2021-07-16,700000,32.747459642857145,77.57142857142857,154.08795467311236
212,2021-07-19,700000,32.459650142857136,78.57142857142857,150.78982929999995
213,2021-07-20,700000,30.36026050000001,79.57142857142857,139.26474969030525
214,2021-07-22,700000,32.13944650000001,80.57142857142857,145.59625143173764
215,2021-07-23,700000,31.014373000000006,81.57142857142857,138.7770980998249
216,2021-07-26,700000,31.136474000000014,82.57142857142857,137.63614371972326
217,2021-07-27,700000,31.287231357142865,83.57142857142857,136.647651482906
218,2021-07-28,700000,30.45744292857144,84.57142857142857,131.45061939611492
219,2021-07-29,700000,31.283493571428583,85.57142857142857,133.4379400250418
220,2021-07-30,700000,31.88153928571429,86.57142857142857,134.41804104785479
221,2021-08-02,700000,33.14864864285716,87.57142857142857,138.16443276101148
222,2021-08-03,700000,32.95054599999999,88.57142857142857,135.78813714516124
223,2021-08-04,700000,31.476612500000012,89.57142857142857,128.26594088915476
224,2021-08-05,900000,24.155722333333326,70.66666666666667,124.76658469339617
225,2021-08-06,900000,23.787458333333333,71.66666666666667,121.15007848837207
226,2021-08-09,1000000,20.17572919999999,65.5,112.42963599999993
227,2021-08-10,1000000,17.459736400000008,66.5,95.83163587969929
228,2021-08-11,1200000,13.965540291666636,56.416666666666664,90.35312625923171
229,2021-08-12,1200000,16.32811224999997,57.416666666666664,103.79844942670516
230,2021-08-13,1200000,15.58054879166665,58.416666666666664,97.35064722895854
231,2021-08-16,1200000,14.857866416666637,59.416666666666664,91.27272777699842
232,2021-08-17,1200000,14.220005916666647,60.416666666666664,85.90844953793092
233,2021-08-18,1200000,14.368161458333315,61.416666666666664,85.39015900610573
234,2021-08-20,1300000,10.592173999999991,57.69230769230769,67.01315417333328
235,2021-08-23,1300000,8.173141999999993,58.69230769230769,50.82773104849275
236,2021-08-24,1300000,10.282501999999988,59.69230769230769,62.874319574742195
237,2021-08-25,1300000,11.05219399999999,60.69230769230769,66.46725035487952
238,2021-08-26,1300000,11.619925999999978,61.69230769230769,68.74881405236896
239,2021-08-27,1300000,12.895639999999986,62.69230769230769,75.07952368098152
240,2021-08-30,1300000,14.46419599999998,63.69230769230769,82.8896256280192
241,2021-08-31,1300000,15.237253999999991,64.6923076923077,85.97000027348389
242,2021-09-01,1300000,15.145249999999983,65.6923076923077,84.15013026932075
243,2021-09-02,1300000,16.317739999999993,66.6923076923077,89.30527831603226
244,2021-09-03,1300000,16.86639799999999,67.6923076923077,90.9443846704545
245,2021-09-06,1300000,18.10171999999999,68.6923076923077,96.18439126539748
246,2021-09-07,1300000,17.87170999999998,69.6923076923077,93.5996290838851
247,2021-09-08,1300000,18.69750199999999,70.6923076923077,96.53933295973879
248,2021-09-09,1300000,19.41333799999999,71.6923076923077,98.83721975321882
249,2021-09-13,1300000,20.117953999999997,72.6923076923077,101.01554680423278
250,2021-09-14,1300000,20.338987999999986,73.6923076923077,100.73955956158656
251,2021-09-15,1300000,20.948233999999992,74.6923076923077,102.36804359423272
252,2021-09-16,1300000,21.55635799999999,75.6923076923077,103.94808811991864
253,2021-09-17,1300000,20.65090399999999,76.6923076923077,98.2833896489468
254,2021-09-20,1300000,18.497785999999973,77.6923076923077,86.90296492079194
255,2021-09-21,1300000,18.146599999999985,78.6923076923077,84.1697135874877
256,2021-09-22,1300000,19.49412199999999,79.6923076923077,89.28533676640922
257,2021-09-23,1300000,20.40967399999999,80.6923076923077,92.32021270734027
258,2021-09-24,1300000,20.574607999999987,81.6923076923077,91.92703856873817
259,2021-09-27,1300000,20.181907999999982,82.6923076923077,89.08200321860457
260,2021-09-28,1300000,19.367335999999984,83.6923076923077,84.46508209558816
261,2021-09-29,1400000,17.755478857142833,78.71428571428571,82.3325743738656
262,2021-09-30,1400000,18.47198514285712,79.71428571428571,84.58050544802856
263,2021-10-01,1400000,18.16475257142856,80.71428571428571,82.14326162831854
264,2021-10-04,1400000,19.638803428571407,81.71428571428571,87.72227755244747
265,2021-10-05,1400000,19.872832571428553,82.71428571428571,87.69445115716746
266,2021-10-06,1400000,18.91564228571426,83.71428571428571,82.47349153583606
267,2021-10-07,1400000,20.78454799999997,84.71428571428571,89.55231052276547
