,Date,Investment,Gain,Avg_duration,Compound_Return
369,2022-03-07,5400000,-3.913375305555605,73.98148148148148,-19.307290931789982
370,2022-03-08,5400000,-3.0029748055555996,74.98148148148148,-14.618086791183222
371,2022-03-09,5400000,-0.9925827500000423,75.98148148148148,-4.768171094930742
372,2022-03-10,5400000,0.5189970555555213,76.98148148148148,2.4607726641807375
373,2022-03-11,5500000,0.7200526363635944,76.58181818181818,3.4318748041308544
374,2022-03-14,5500000,2.178727818181772,77.58181818181818,10.250283794234608
375,2022-03-15,5500000,0.9171872727272354,78.58181818181818,4.260188454419078
376,2022-03-16,5500000,2.8088924545454033,79.58181818181818,12.882914330591495
377,2022-03-17,5500000,4.696660999999958,80.58181818181818,21.27379728677779
378,2022-03-21,5500000,3.6704101818181236,81.58181818181818,16.42154767104944
379,2022-03-22,5500000,4.868964545454491,82.58181818181818,21.520137219286422
380,2022-03-23,5500000,4.445927545454506,83.58181818181818,19.41526984446361
381,2022-03-24,5500000,4.307236818181774,84.58181818181818,18.587226811048822
382,2022-03-25,5500000,3.8848054545454,85.58181818181818,16.56840227320988
383,2022-03-28,5500000,4.302694545454498,86.58181818181818,18.138721755564692
384,2022-03-29,5500000,4.928316909090853,87.58181818181818,20.538916742785734
385,2022-03-30,5500000,5.975764999999952,88.58181818181818,24.623046464490773
386,2022-03-31,5500000,5.772876818181778,89.58181818181818,23.521514537243597
387,2022-04-01,5500000,7.018670818181776,90.58181818181818,28.28177773484527
388,2022-04-04,5500000,9.33795527272724,91.58181818181818,37.21648840579698
389,2022-04-05,5500000,8.756544363636321,92.58181818181818,34.52231502356621
390,2022-04-06,5500000,7.849603909090873,93.58181818181818,30.616047887118572
391,2022-04-07,5500000,6.831529181818122,94.58181818181818,26.363504099384624
392,2022-04-08,5500000,7.708490636363575,95.58181818181818,29.43655117462408
393,2022-04-11,5500000,7.045924454545416,96.58181818181818,26.6278112622363
394,2022-04-12,5500000,6.169871454545398,97.58181818181818,23.07810125768565
395,2022-04-13,5500000,5.838891181818142,98.58181818181818,21.61854306067857
396,2022-04-18,5500000,4.00986936363632,99.58181818181818,14.697485388898873
397,2022-04-19,5500000,2.707751181818139,100.58181818181818,9.826121651301364
398,2022-04-20,5500000,3.7851782727272165,101.58181818181818,13.600761379094125
399,2022-04-21,5500000,5.335910181818123,102.58181818181818,18.985890978376254
400,2022-04-22,5500000,3.99957354545451,103.58181818181818,14.093635057925098
401,2022-04-25,5600000,2.6319473214285183,102.73214285714286,9.351121719102887
402,2022-04-26,5600000,4.126271428571365,103.73214285714286,14.519020141160045
403,2022-04-27,5600000,3.1431714285713888,104.73214285714286,10.954206990622197
404,2022-04-28,5600000,4.394141964285652,105.73214285714286,15.169103487586339
405,2022-04-29,5600000,3.5315080357142223,106.73214285714286,12.076965743683907
406,2022-05-02,5600000,3.3290160714285117,107.73214285714286,11.278814603016539
407,2022-05-04,5700000,0.9433684210525662,106.84210526315789,3.2227881773396785
408,2022-05-05,5800000,0.9559193706896221,106.0,3.2916091537897367
409,2022-05-06,6000000,-0.6627037500000248,103.46666666666667,-2.337824118073541
410,2022-05-09,6100000,-1.3043242049180581,102.77049180327869,-4.6324419241506725
411,2022-05-10,6300000,-1.6239637857143072,100.5079365079365,-5.897512200331726
412,2022-05-11,6500000,-2.002501538461547,98.41538461538461,-7.426817101766485
413,2022-05-12,6900000,-3.9377623188406012,93.71014492753623,-15.337541602227118
414,2022-05-13,7000000,-4.035509628571464,93.37142857142857,-15.775286262240039
415,2022-05-16,7000000,-3.6697632571428884,94.37142857142857,-14.193528795034938
416,2022-05-17,7000000,-1.134164971428604,95.37142857142857,-4.340610398442306
417,2022-05-18,7000000,-1.2496958285714632,96.37142857142857,-4.7331349570116945
418,2022-05-19,7100000,-3.814274394366234,96.01408450704226,-14.50006174710297
419,2022-05-20,7100000,-1.0353687957746802,97.01408450704226,-3.8954097477498313
420,2022-05-23,7100000,-1.3483949436620009,98.01408450704226,-5.021361541169816
421,2022-05-24,7300000,-1.8420149931507184,96.32876712328768,-6.9795917935865885
422,2022-05-25,7500000,-2.381510266666698,94.76,-9.173187498241292
423,2022-05-26,7600000,-1.4833611250000294,94.51315789473684,-5.728586608311405
424,2022-05-27,7600000,-0.3726983750000302,95.51315789473684,-1.4242530544842043
425,2022-05-30,7600000,1.5095794999999803,96.51315789473684,5.7090300381730685
426,2022-05-31,7600000,1.041370874999961,97.51315789473684,3.897939289232077
427,2022-06-01,7600000,0.6648543749999647,98.51315789473684,2.4633445121542703
428,2022-06-02,7600000,1.3060899999999735,99.51315789473684,4.790550918947411
429,2022-06-03,7600000,1.0398477499999694,100.51315789473684,3.776067101060238
430,2022-06-06,7600000,0.9499833749999709,101.51315789473684,3.4157535738819433
431,2022-06-07,7600000,0.016612374999964805,102.51315789473684,0.059148669297782536
432,2022-06-08,7700000,-0.3458295454545696,102.18181818181819,-1.2353252891459936
433,2022-06-09,7700000,0.39656927272723386,103.18181818181819,1.4028419647575718
434,2022-06-10,7700000,-1.2868512727273023,104.18181818181819,-4.508471082024536
435,2022-06-13,7700000,-3.8908829090909354,105.18181818181819,-13.502069904926625
436,2022-06-14,7700000,-4.148605272727292,106.18181818181819,-14.260830625000066
437,2022-06-15,7700000,-4.392009727272762,107.18181818181819,-14.956674346904272
438,2022-06-16,7700000,-6.412053454545484,108.18181818181819,-21.633945058823628
439,2022-06-17,7800000,-6.733178461538484,107.7948717948718,-22.798952283539563
440,2022-06-20,8000000,-6.2278524187500235,106.1,-21.42475148768858
441,2022-06-21,8000000,-4.464525650000025,107.1,-15.215236809057043
442,2022-06-22,8100000,-5.769553580246947,106.77777777777777,-19.72214725401792
443,2022-06-23,8100000,-4.893171851851874,107.77777777777777,-16.57120570446743
444,2022-06-24,8100000,-4.0213753086420025,108.77777777777777,-13.49358313471806
445,2022-06-27,8100000,-3.2094918518518845,109.77777777777777,-10.67123556005409
446,2022-06-28,8100000,-3.0985303703703932,110.77777777777777,-10.209300167168248
447,2022-06-29,8100000,-3.4109343209876735,111.77777777777777,-11.13809070024305
448,2022-06-30,8200000,-3.4826026219512545,111.41463414634147,-11.409183064251426
449,2022-07-01,8200000,-3.6550834512195505,112.41463414634147,-11.867720513669033
450,2022-07-04,8200000,-3.145592207317104,113.41463414634147,-10.123395136021605
451,2022-07-05,8200000,-3.295442573170757,114.41463414634147,-10.512960585696094
452,2022-07-06,8300000,-2.1751741927711135,114.03614457831326,-6.962166103539448
453,2022-07-07,8300000,-1.2996952891566576,115.03614457831326,-4.123823710201187
454,2022-07-08,8300000,-0.7631509156626795,116.03614457831326,-2.4005458405150946
455,2022-07-11,8300000,-0.7912934939759302,117.03614457831326,-2.467802800082438
456,2022-07-12,8300000,-1.7560944939759415,118.03614457831326,-5.430323843523645
457,2022-07-13,8300000,-2.3168047771084694,119.03614457831326,-7.104008170293632
458,2022-07-14,8300000,-2.4881074277108692,120.03614457831326,-7.565714596256226
459,2022-07-15,8300000,-1.8117678554217074,121.03614457831326,-5.463618074855726
460,2022-07-18,8300000,-0.4089215060241229,122.03614457831326,-1.223050352947063
461,2022-07-19,8300000,-0.029302596385579513,123.03614457831326,-0.08692931428722399
462,2022-07-20,8300000,1.0737641144577998,124.03614457831326,3.159755594706075
463,2022-07-21,8300000,1.5901192469879175,125.03614457831326,4.641805992243106
464,2022-07-22,8300000,2.2887893433734687,126.03614457831326,6.628321686024207
465,2022-07-25,8300000,1.7476565060240767,127.03614457831326,5.021363225531051
466,2022-07-26,8300000,0.8473998975903245,128.03614457831324,2.4157316173425127
467,2022-07-27,8300000,1.8137303855421405,129.03614457831324,5.130435296918688
468,2022-07-28,8300000,3.5744769156626144,130.03614457831324,10.033241745575735
469,2022-07-29,8300000,4.973346596385521,131.03614457831324,13.85321213106835
470,2022-08-01,8300000,6.085590234939727,132.03614457831324,16.822972549274482
471,2022-08-02,8300000,6.118627174698759,133.03614457831324,16.787159052481336
472,2022-08-03,8300000,6.379863716867449,134.03614457831324,17.373300791235902
473,2022-08-04,8300000,6.342238313252982,135.03614457831324,17.14294340649528
474,2022-08-05,8300000,6.4370665662650195,136.03614457831324,17.271360519440154
475,2022-08-08,8300000,7.217717216867438,137.03614457831324,19.224612544839022
476,2022-08-10,8300000,7.276755451807191,138.03614457831324,19.24145120123059
477,2022-08-11,8300000,8.036910963855393,139.03614457831324,21.098632378682765
478,2022-08-12,8300000,8.276428777108418,140.03614457831324,21.572262737890348
479,2022-08-16,8300000,9.054020451807204,141.03614457831324,23.431705927515743
480,2022-08-17,8300000,9.782056716867443,142.03614457831324,25.13762051382638
481,2022-08-18,8300000,9.857001626505998,143.03614457831324,25.15312199081867
482,2022-08-19,8300000,8.645341271084318,144.03614457831324,21.90803963258046
483,2022-08-22,8300000,7.007259674698766,145.03614457831324,17.634568187821824
484,2022-08-23,8300000,7.538297891566239,146.03614457831324,18.84108032546813
485,2022-08-24,8300000,7.7062356686746725,147.03614457831324,19.12982707165677
486,2022-08-25,8300000,7.201504644578279,148.03614457831324,17.75613113107341
487,2022-08-26,8300000,7.424503987951788,149.03614457831324,18.183132442603025
488,2022-08-29,8300000,5.919487843373476,150.03614457831324,14.400617057335541
489,2022-08-30,8300000,8.650541530120446,151.03614457831324,20.905245345803998
490,2022-09-01,8300000,7.326004963855383,152.03614457831324,17.58786911641167
491,2022-09-02,8300000,7.305509825301189,153.03614457831324,17.42406079022985
492,2022-09-05,8300000,8.078513036144539,154.03614457831324,19.142632180680394
493,2022-09-06,8300000,8.016109927710795,155.03614457831324,18.872245124339337
494,2022-09-07,8300000,7.825229831325271,156.03614457831324,18.30479018917451
495,2022-09-08,8300000,8.89189472891563,157.03614457831324,20.66748126534441
496,2022-09-09,8300000,9.103575861445751,158.03614457831324,21.025602708126787
497,2022-09-12,8300000,9.733724897590319,159.03614457831324,22.33963604337112
498,2022-09-13,8300000,10.551695054216827,160.03614457831324,24.065617832379644
499,2022-09-14,8300000,10.14607484939755,161.03614457831324,22.996808137251143
500,2022-09-15,8300000,9.373071638554201,162.03614457831324,21.1136296594542
501,2022-09-16,8300000,7.252895439758987,163.03614457831324,16.237545621304946
502,2022-09-19,8300000,7.812076234939721,164.03614457831324,17.3828020225853
503,2022-09-20,8300000,8.998958885542129,165.03614457831324,19.90242805062774
504,2022-09-21,8300000,8.400011403614409,166.03614457831324,18.465883859843157
505,2022-09-22,8300000,7.8582667710843035,167.03614457831324,17.171537206433854
506,2022-09-23,8300000,6.007892246987918,168.03614457831324,13.050053461138523
507,2022-09-26,8300000,4.104903337349352,169.03614457831324,8.863723920527343
508,2022-09-27,8300000,4.050453566265035,170.03614457831324,8.694713440799209
509,2022-09-28,8300000,3.1401023373493633,171.03614457831324,6.701141188362846
510,2022-09-29,8300000,2.8923252891565796,172.03614457831324,6.136493776524867
511,2022-09-30,8300000,4.582409475903577,173.03614457831324,9.666069842118011
512,2022-10-03,8300000,3.315993451807199,174.03614457831324,6.95451863084106
513,2022-10-04,8300000,5.6833349036144165,175.03614457831324,11.851365012733947
514,2022-10-06,8300000,6.035117132530088,176.03614457831324,12.513440115666212
515,2022-10-07,8300000,5.9301942590361305,177.03614457831324,12.226434944705293
516,2022-10-10,8300000,5.479607108433697,178.03614457831324,11.233991835284488
517,2022-10-11,8300000,3.904540415662621,179.03614457831324,7.96016499949523
518,2022-10-12,8300000,4.761359566265021,180.03614457831324,9.65304075888368
519,2022-10-13,8300000,4.092973331325273,181.03614457831324,8.252138098795365
520,2022-10-14,8300000,5.141284373493955,182.03614457831324,10.30877027566347
