,Date,Investment,Gain,Avg_duration,DailyInvestment,Gain_amount,Compound_Return
270,2021-10-12,1600000,34.902796714285714,87.0625,0,2103921.3559999997,146.32615420777356
271,2021-10-13,1600000,38.25865235714285,88.0625,0,2150642.4205,158.57383233904488
272,2021-10-14,1600000,38.74579007142857,89.0625,0,2152513.7495,158.7897642225564
273,2021-10-18,1600000,36.59914857142858,90.0625,0,2121595.4229999995,148.32687554277786
274,2021-10-19,1600000,34.58386110714286,91.0625,0,2084045.2574999998,138.62028062162958
275,2021-10-20,1700000,29.382801000000004,86.70588235294117,100000,2138179.068,123.69082781886027
276,2021-10-21,1900000,24.36194485294117,78.57894736842105,200000,2305786.329,113.1614786035814
277,2021-10-22,1900000,22.843213382352943,79.57894736842105,0,2278696.7309999997,104.77360106257781
278,2021-10-25,2000000,19.441488694444438,76.6,100000,2340301.559,92.63894743436319
279,2021-10-26,2000000,22.39011155555555,77.6,0,2398164.9699999997,105.31431337342495
280,2021-10-27,2000000,22.530407166666663,78.6,0,2399042.835,104.62593658821035
281,2021-10-28,2000000,21.559650055555554,79.6,0,2387908.1365000005,98.8602044004746
282,2021-10-29,2000000,20.562814861111107,80.6,0,2363024.9974999996,93.11944695168182
283,2021-11-01,2000000,21.470568249999996,81.6,0,2373673.2734999997,96.03869376531861
284,2021-11-02,2000000,21.763596888888884,82.6,0,2378875.5655,96.17085792305622
285,2021-11-03,2000000,22.74915597222222,83.6,0,2394009.9294999996,99.3234680605396
286,2021-11-04,2000000,24.304245250000005,84.6,0,2425193.0355,104.85874132683217
287,2021-11-08,2000000,24.710011333333327,85.6,0,2441426.079,105.36395019470403
288,2021-11-09,2000000,25.304217138888884,86.6,0,2452199.9784999997,106.65172350686424
289,2021-11-10,2000000,26.256170249999997,87.6,0,2468639.3145,109.40070937499999
290,2021-11-11,2000000,26.57051355555555,88.6,0,2474200.5294999997,109.4609192751442
291,2021-11-12,2000000,27.271882249999997,89.6,0,2485945.7519999994,111.09639532645089
292,2021-11-15,2000000,27.608836944444445,90.6,0,2491206.7835,111.22765435675744
293,2021-11-16,2000000,27.782333027777778,91.6,0,2495108.0344999996,110.7047113006429
294,2021-11-17,2000000,27.240208527777774,92.6,0,2483920.454,107.37231223152148
295,2021-11-18,2000000,24.815804722222214,93.6,0,2436919.0705000004,96.77103337191356
296,2021-11-22,2100000,19.95012197894737,90.14285714285714,100000,2461900.8596000005,80.78060484343982
297,2021-11-23,2200000,19.811888105,87.04545454545455,100000,2584046.3511000006,83.07543680582246
298,2021-11-24,2200000,20.218638394999996,88.04545454545455,0,2592616.1424000002,83.81810341344861
299,2021-11-25,2200000,21.244553494999998,89.04545454545455,0,2627838.2498999992,87.08206460686574
300,2021-11-26,2300000,17.555165638095236,86.17391304347827,100000,2663033.1163999997,74.35702095449521
301,2021-11-29,2500000,14.885974326086954,80.28,200000,2831044.9494999996,67.6803765448647
302,2021-11-30,2600000,15.371352691666667,78.1923076923077,100000,2960111.5756,71.75314168416953
303,2021-12-01,2600000,15.739292691666668,79.1923076923077,0,2970443.4586,72.54292746183422
304,2021-12-02,2600000,17.107416787499997,80.1923076923077,0,3003967.1934,77.86541262032372
305,2021-12-03,2600000,17.222763599999997,81.1923076923077,0,3011091.1119,77.42492968450969
306,2021-12-06,2600000,14.485288770833336,82.1923076923077,0,2940535.3804999995,64.32634086813681
307,2021-12-07,2600000,15.913711329166658,83.1923076923077,0,2977083.6349,69.82021290512787
308,2021-12-08,2600000,16.898812191666664,84.1923076923077,0,2992847.2695999998,73.2616389670702
309,2021-12-09,2600000,17.881400604166664,85.1923076923077,0,3017870.9935000003,76.61150868331451
310,2021-12-10,2600000,18.33139622916666,86.1923076923077,0,3030074.3530000006,77.62826872592218
311,2021-12-13,2700000,16.5410317,84.0,100000,3099816.5210000006,71.87472107738097
312,2021-12-14,2700000,17.156466879999996,85.0,0,3111259.7449999996,73.67188719058822
313,2021-12-15,2700000,16.590452299999995,86.0,0,3095021.682,70.41296615697674
314,2021-12-16,2700000,16.230499796,87.0,0,3082942.9599,68.09347615563219
315,2021-12-17,2700000,14.208609063999994,88.0,0,3031925.6666,58.9334353222727
316,2021-12-20,2900000,10.380554669230765,82.93103448275862,200000,3156832.8964000004,45.68738926145848
317,2021-12-21,2900000,11.672736865384614,83.93103448275862,0,3189700.5375,50.76249783077081
318,2021-12-22,2900000,12.628873615384617,84.93103448275862,0,3213932.2834999994,54.273904676754434
319,2021-12-23,2900000,13.413172371153845,85.93103448275862,0,3236245.2583999992,56.973687619848896
320,2021-12-24,2900000,12.734100551923067,86.93103448275862,0,3214855.909600001,53.46705844589673
321,2021-12-27,2900000,12.852031263461535,87.93103448275862,0,3216078.9580999995,53.34852977401583
322,2021-12-28,2900000,14.01064517307692,88.93103448275862,0,3251710.5579999997,57.50394693951888
323,2021-12-29,2900000,14.576392707692309,89.93103448275862,0,3265462.8574,59.16070429866683
324,2021-12-30,2900000,14.259653634615384,90.93103448275862,0,3257928.9475000007,57.238693106713626
325,2021-12-31,2900000,15.590745936538465,91.93103448275862,0,3294469.8181,61.900992399947356
326,2022-01-03,2900000,16.785590003846153,92.93103448275862,0,3326065.0921000005,65.92781825258314
327,2022-01-04,2900000,18.03437201346154,93.93103448275862,0,3356803.7386,70.07849771016534
328,2022-01-05,2900000,18.258390576923077,94.93103448275862,0,3362273.7225,70.20162159706894
329,2022-01-06,2900000,18.284829332692304,95.93103448275862,0,3362989.1634,69.57042361126817
330,2022-01-07,2900000,18.05783208076923,96.93103448275862,0,3358031.7145999996,67.9979198060983
331,2022-01-10,2900000,18.99547774038461,97.93103448275862,0,3385117.5094999997,70.7982858739335
332,2022-01-11,2900000,18.9740401,98.93103448275862,0,3384470.9420999987,70.00356028529104
333,2022-01-12,2900000,19.57977624423077,99.93103448275862,0,3405708.2090999996,71.51550432891052
334,2022-01-13,2900000,20.722424426923077,100.93103448275862,0,3437498.1625999995,74.93913992448951
335,2022-01-14,2900000,21.03724898076922,101.93103448275862,0,3450139.866,75.33128567707787
336,2022-01-17,2900000,21.966554746153847,102.93103448275862,0,3480480.9858999993,77.89480133602629
337,2022-01-18,2900000,20.250734967307686,103.93103448275862,0,3427726.0349,71.11945243163632
338,2022-01-19,3000000,19.49569472592592,101.46666666666667,100000,3526101.8966,70.13070211855744
339,2022-01-20,3100000,19.315458151851853,99.19354838709677,100000,3615694.4686000003,71.07460454900935
340,2022-01-21,3200000,16.281509928571428,97.09375,100000,3642346.0735,61.20631991172008
341,2022-01-24,3900000,10.109450399999997,80.66666666666667,700000,4178581.8709,45.74317433057849
342,2022-01-25,4000000,10.539505825806451,79.65,100000,4301811.538100001,48.29779819735536
343,2022-01-27,4000000,8.517669511290325,80.65,0,4226442.8346,38.548659288542694
344,2022-01-28,4000000,9.537119632258062,81.65,0,4267121.772599999,42.63378647610768
345,2022-01-31,4000000,12.425462314516128,82.65,0,4368482.974999999,54.87348753537068
346,2022-02-01,4000000,13.325836833870962,83.65,0,4401725.8656,58.14620973536044
347,2022-02-02,4000000,14.66581100645161,84.65,0,4464616.1172,63.23710593449306
348,2022-02-03,4000000,14.393085569354833,85.65,0,4454702.0574,61.33655846835393
349,2022-02-04,4100000,13.024488785937496,84.5609756097561,100000,4522307.2579,56.21905817177809
350,2022-02-07,4100000,11.936643179687502,85.5609756097561,0,4464680.419,50.92128425998388
351,2022-02-08,4100000,11.189179531250003,86.5609756097561,0,4434579.576,47.18119799525396
352,2022-02-09,4100000,12.052192565625,87.5609756097561,0,4462839.491099999,50.239850068127616
353,2022-02-10,4100000,12.315352046874995,88.5609756097561,0,4476430.425,50.75715873904828
354,2022-02-11,4100000,10.595593340624994,89.5609756097561,0,4410163.4139,43.18165967931728
355,2022-02-14,4200000,7.236664062499993,88.42857142857143,100000,4379428.507499999,29.870236962338417
356,2022-02-15,4200000,9.779196953645833,89.42857142857143,0,4480286.8736000005,39.913495553618375
