,Date,Investment,Gain,Avg_duration,Compound_Return
319,2021-12-23,2900000,10.089617551724153,85.93103448275862,42.856581775682244
320,2021-12-24,2900000,8.87583127586208,86.93103448275862,37.26722493256649
321,2021-12-27,2900000,9.07325434482759,87.93103448275862,37.662900878431394
322,2021-12-28,2900000,10.355507206896561,88.93103448275862,42.50214958704928
323,2021-12-29,2900000,10.440591896551725,89.93103448275862,42.37487163535276
324,2021-12-30,2900000,10.316288482758617,90.93103448275862,41.409902764505105
325,2021-12-31,2900000,11.816570862068971,91.93103448275862,46.91612999812456
326,2022-01-03,2900000,13.326159379310344,92.93103448275862,52.34040706122449
327,2022-01-04,2900000,13.789472103448281,93.93103448275862,53.58353972650516
328,2022-01-05,2900000,13.9443528275862,94.93103448275862,53.61459305484924
329,2022-01-06,2900000,14.282032689655184,95.93103448275862,54.340516182602485
330,2022-01-07,2900000,14.958721862068977,96.93103448275862,56.32802237993601
331,2022-01-10,2900000,16.01031544827588,97.93103448275862,59.672249654929644
332,2022-01-11,2900000,16.13528358620691,98.93103448275862,59.530141777622916
333,2022-01-12,2900000,17.52455703448276,99.93103448275862,64.00877716011044
334,2022-01-13,2900000,18.28167782758621,100.93103448275862,66.11259303211482
335,2022-01-14,2900000,18.181969206896547,101.93103448275862,65.10694995094721
336,2022-01-17,2900000,18.332861586206896,102.93103448275862,65.00949410050251
337,2022-01-18,2900000,15.634081586206893,103.93103448275862,54.90602308891837
338,2022-01-19,3000000,14.876075666666665,101.46666666666667,53.51282146846254
339,2022-01-20,3100000,14.083252951612907,99.19354838709677,51.821790942276444
340,2022-01-21,3200000,10.854278999999995,97.09375,40.80398413904086
341,2022-01-24,4000000,5.191629550000024,78.675,24.085729720368718
342,2022-01-25,4100000,6.444308719512211,77.7560975609756,30.250652442754152
343,2022-01-27,4100000,5.553325487804871,78.7560975609756,25.737230078971788
344,2022-01-28,4100000,7.01453798780488,79.7560975609756,32.10170060779818
345,2022-01-31,4100000,8.802336341463416,80.7560975609756,39.784646134098466
346,2022-02-01,4100000,9.798941585365842,81.7560975609756,43.747363014618095
347,2022-02-02,4100000,11.057333902439034,82.7560975609756,48.76893659003836
348,2022-02-03,4100000,9.767838170731713,83.7560975609756,42.56718061298779
349,2022-02-04,4200000,8.428986571428565,82.76190476190476,37.173867704257745
350,2022-02-07,4200000,7.213720952380936,83.76190476190476,31.434434963047117
351,2022-02-08,4200000,6.550143238095234,84.76190476190476,28.206094337078632
352,2022-02-09,4200000,8.198092571428578,85.76190476190476,34.890827073847895
353,2022-02-10,4200000,8.563513047619058,86.76190476190476,36.02597558177831
354,2022-02-11,4200000,6.096116380952387,87.76190476190476,25.35362564297344
355,2022-02-14,4300000,1.8879672674418666,86.72093023255815,7.946271456824911
356,2022-02-15,4300000,5.040834348837217,87.72093023255815,20.97452150185581
357,2022-02-16,4300000,4.699494627906984,88.72093023255815,19.333831765399765
358,2022-02-17,4300000,4.334235267441872,89.72093023255815,17.632406045230734
359,2022-02-18,4300000,3.3968439883720993,90.72093023255815,13.66661532876188
360,2022-02-21,4500000,2.4504104000000075,87.68888888888888,10.199693568170332
361,2022-02-22,4600000,1.5835934347826177,86.78260869565217,6.660454351202443
362,2022-02-23,4600000,1.91991592391307,87.78260869565217,7.983008509782181
363,2022-02-24,5000000,-4.013152829999998,81.76,-17.915860848214276
364,2022-02-25,5000000,0.24089291000001134,82.76,1.0624203981392477
365,2022-02-28,5000000,1.2062490100000054,83.76,5.2564576008835
366,2022-03-02,5000000,0.9833748500000126,84.76,4.234684052029313
367,2022-03-03,5100000,0.17318550980392405,84.09803921568627,0.7516549930053733
368,2022-03-04,5500000,-1.9882726363636214,78.98181818181818,-9.18843765538667
369,2022-03-07,5800000,-3.926509655172407,75.89655172413794,-18.883282462517002
370,2022-03-08,5800000,-2.401451034482761,76.89655172413794,-11.398815784753374
371,2022-03-09,5800000,-0.21499172413793938,77.89655172413794,-1.0073870739265551
372,2022-03-10,5800000,0.4711220689655185,78.89655172413794,2.1795572989510545
373,2022-03-11,5900000,1.1515270338983006,78.55932203389831,5.350190868392643
374,2022-03-14,5900000,1.5136997627118696,79.55932203389831,6.944508817639563
375,2022-03-15,5900000,0.65540891525424,80.55932203389831,2.969541550599634
376,2022-03-16,5900000,2.697100779661025,81.55932203389831,12.070254632169611
377,2022-03-17,5900000,4.151643677966101,82.55932203389831,18.354680066721407
378,2022-03-21,5900000,3.433800423728807,83.55932203389831,14.99936959939145
379,2022-03-22,5900000,3.8518921016949084,84.55932203389831,16.62667797354176
380,2022-03-23,5900000,4.393525644067801,85.55932203389831,18.742982318740115
381,2022-03-24,5900000,5.17834159322034,86.55932203389831,21.835830469943218
382,2022-03-25,5900000,4.767402338983049,87.55932203389831,19.873404833526898
383,2022-03-28,5900000,4.23162077966102,88.55932203389831,17.440756648803838
384,2022-03-29,5900000,4.6198023220338875,89.55932203389831,18.82805507286142
