,Date,Investment,Gain,Avg_duration,Compound_Return
221,2021-08-02,1100000,9.549770818181843,79.9090909090909,43.62039799203652
222,2021-08-03,1100000,11.243517727272755,80.9090909090909,50.72216143258439
223,2021-08-04,1100000,12.12659709090911,81.9090909090909,54.038054739178776
224,2021-08-05,1300000,10.464853692307727,70.3076923076923,54.32793300875292
225,2021-08-06,1300000,10.082505076923102,71.3076923076923,51.608939147788696
226,2021-08-09,1400000,9.48770071428575,67.21428571428571,51.5219454303934
227,2021-08-10,1400000,9.63484485714289,68.21428571428571,51.55398661780122
228,2021-08-11,1700000,7.941739705882378,57.1764705882353,50.69803999485613
229,2021-08-12,1700000,8.486345882352976,58.1764705882353,53.243454196157955
230,2021-08-13,1700000,9.578210000000018,59.1764705882353,59.07832311133212
231,2021-08-16,1700000,9.803278529411784,60.1764705882353,59.46172363147617
232,2021-08-17,1700000,10.145024705882376,61.1764705882353,60.52872913461552
233,2021-08-18,1700000,9.841729117647073,62.1764705882353,57.774767431409735
234,2021-08-20,1700000,9.05713823529415,63.1764705882353,52.32732099627579
235,2021-08-23,1700000,9.361759705882383,64.17647058823529,53.24447202108175
236,2021-08-24,1700000,10.211318823529435,65.17647058823529,57.18522861010844
237,2021-08-25,1700000,10.277944411764743,66.17647058823529,56.68857340000021
238,2021-08-26,1700000,10.292860588235328,67.17647058823529,55.925744264448525
239,2021-08-27,1700000,10.745649411764735,68.17647058823529,57.52955530629869
240,2021-08-30,1700000,12.242902058823555,69.17647058823529,64.59796536989809
241,2021-08-31,1700000,13.576408235294155,70.17647058823529,70.61325490360456
242,2021-09-01,1700000,13.20549264705885,71.17647058823529,67.71907592975221
243,2021-09-02,1700000,14.252276764705929,72.17647058823529,72.0744721475145
244,2021-09-03,1700000,14.845277647058849,73.17647058823529,74.04738569131845
245,2021-09-06,1700000,15.204591764705913,74.17647058823529,74.81720214115798
246,2021-09-07,1700000,15.100510000000023,75.17647058823529,73.31663892801264
247,2021-09-08,1700000,15.043497058823569,76.17647058823529,72.08100328185347
248,2021-09-09,1700000,15.14791029411768,77.17647058823529,71.64084098704285
249,2021-09-13,1700000,15.055430000000031,78.17647058823529,70.29265850263371
250,2021-09-14,1700000,15.219176470588264,79.17647058823529,70.15972511144145
251,2021-09-15,1700000,16.143647941176507,80.17647058823529,73.4932762105651
252,2021-09-16,1700000,16.87321470588239,81.17647058823529,75.86833134057989
253,2021-09-17,1700000,16.57920029411769,82.17647058823529,73.63918240873319
254,2021-09-20,1700000,15.331213529411814,83.17647058823529,67.27735498585594
255,2021-09-21,1700000,16.425729411764742,84.17647058823529,71.22407477288625
256,2021-09-22,1700000,16.323967941176516,85.17647058823529,69.9518101346687
257,2021-09-23,1700000,18.15567441176474,86.17647058823529,76.89826602389093
258,2021-09-24,1700000,18.35621411764709,87.17647058823529,76.85580877192997
259,2021-09-27,1700000,18.36881000000003,88.17647058823529,76.03633492328231
