,Date,Investment,Gain,Avg_duration,Compound_Return
266,2021-10-06,1600000,19.044394812500016,83.0625,83.68643017682476
267,2021-10-07,1600000,20.915324031250012,84.0625,90.81449244795544
268,2021-10-08,1600000,23.362521656250014,85.0625,100.24770497612054
269,2021-10-11,1600000,25.136850968750018,86.0625,106.60799539397247
270,2021-10-12,1600000,26.419298000000026,87.0625,110.76001458722193
271,2021-10-13,1600000,26.121725875000017,88.0625,108.26889929737409
272,2021-10-14,1600000,27.028876718750023,89.0625,110.77097546491237
273,2021-10-18,1600000,27.780579437500023,90.0625,112.58749751214444
274,2021-10-19,1600000,25.905208843750003,91.0625,103.83419330645162
275,2021-10-20,1700000,21.51542282352943,86.70588235294117,90.57204791044784
276,2021-10-21,1900000,18.44837631578947,78.57894736842105,85.69289333556596
277,2021-10-22,1900000,16.750941578947376,79.57894736842105,76.83054222883601
278,2021-10-25,2000000,12.580629875000007,76.6,59.94686559236296
279,2021-10-26,2000000,15.279168500000006,77.6,71.86722297036086
280,2021-10-27,2000000,15.327414125000011,78.6,71.17692309955476
281,2021-10-28,2000000,12.920493500000005,79.6,59.24598150125631
282,2021-10-29,2000000,12.588134749999991,80.6,57.00582113833743
283,2021-11-01,2000000,13.605581374999998,81.6,60.858299042585784
284,2021-11-02,2000000,14.678778499999993,82.6,64.86385172518156
285,2021-11-03,2000000,13.714938125000009,83.6,59.87981358403115
286,2021-11-04,2000000,15.301683125000004,84.6,66.01790000738772
287,2021-11-08,2000000,16.696517749999998,85.6,71.19426377044392
288,2021-11-09,2000000,17.32371087500001,86.6,73.01564052396078
289,2021-11-10,2000000,17.227219625000004,87.6,71.78008177083335
290,2021-11-11,2000000,15.895640375000006,88.6,65.48429725592554
291,2021-11-12,2000000,16.086478625000012,89.6,65.53085600585943
292,2021-11-15,2000000,16.20762875000001,90.6,65.29563458885214
293,2021-11-16,2000000,16.88199537500001,91.6,67.26995973662667
294,2021-11-17,2000000,16.44027987500001,92.6,64.80239907532402
295,2021-11-18,2000000,14.150220875,93.6,55.179814309561976
296,2021-11-22,2100000,9.723872500000011,90.14285714285714,39.37320798335979
297,2021-11-23,2200000,11.240393113636369,87.04545454545455,47.13334553655355
298,2021-11-24,2200000,11.770478545454562,88.04545454545455,48.795530573051174
299,2021-11-25,2200000,12.369613181818192,89.04545454545455,50.70341697294542
300,2021-11-26,2300000,8.939975130434796,86.17391304347827,37.86634269424829
301,2021-11-29,2500000,5.5923050000000005,80.28,25.42590090931739
302,2021-11-30,2600000,6.737596384615387,78.1923076923077,31.45095410231186
303,2021-12-01,2600000,7.0297316153846285,79.1923076923077,32.400268591549356
304,2021-12-02,2600000,7.973391461538474,80.1923076923077,36.291359697841784
305,2021-12-03,2600000,9.06311892307693,81.1923076923077,40.74324897205119
306,2021-12-06,2600000,7.046545153846176,82.1923076923077,31.292332012166685
307,2021-12-07,2600000,8.182509846153849,83.1923076923077,35.9001472214517
308,2021-12-08,2600000,10.287354692307712,84.1923076923077,44.598901795340424
309,2021-12-09,2600000,11.417014307692325,85.1923076923077,48.91533443792333
310,2021-12-10,2600000,13.153012153846158,86.1923076923077,55.69927949129855
311,2021-12-13,2700000,12.529808740740744,84.0,54.44500226631395
312,2021-12-14,2700000,12.666883259259269,85.0,54.393086936819216
